-0.100        0.0000
-0.095        0.0218
-0.090        0.0300
-0.085        0.0357
-0.080        0.0400
-0.075        0.0433
-0.070        0.0458
-0.065        0.0477
-0.060        0.0490
-0.055        0.0497
-0.040        0.0500
-0.030        0.0500
-0.020        0.0500
-0.010        0.0500
0.000        0.0500
0.010        0.0500
0.020        0.0500
0.030        0.0500
0.040        0.0500
0.050        0.0500
0.060        0.0500
0.070        0.0500
0.080        0.0500
0.090        0.0500
0.100        0.0500
0.110        0.0500
0.120        0.0500
0.130        0.0500
0.140        0.0500
0.155        0.0999
0.160        0.0995
0.165        0.0989
0.170        0.0980
0.175        0.0968
0.180        0.0954
0.185        0.0937
0.190        0.0917
0.195        0.0893
0.190        -0.0917
0.185        -0.0937
0.180        -0.0954
0.175        -0.0968
0.170        -0.0980
0.165        -0.0989
0.160        -0.0995
0.155        -0.0999
0.140        -0.0500
0.130        -0.0500
0.120        -0.0500
0.110        -0.0500
0.100        -0.0500
0.090        -0.0500
0.080        -0.0500
0.070        -0.0500
0.060        -0.0500
0.050        -0.0500
0.040        -0.0500
0.030        -0.0500
0.020        -0.0500
0.010        -0.0500
0.000        -0.0500
-0.010        -0.0500
-0.020        -0.0500
-0.030        -0.0500
-0.040        -0.0500
-0.055        -0.0497
-0.060        -0.0490
-0.065        -0.0477
-0.070        -0.0458
-0.075        -0.0433
-0.080        -0.0400
-0.085        -0.0357
-0.090        -0.0300
-0.095        -0.0218
-0.100        0.0000
